Run configurations: model=allenai/unifiedqa-v2-t5-small-1251000 train=./data/unifiedQA/train_direct_2000.json eval=./data/unifiedQA/test.json train_batch=16 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6683748169838946	0.913913913913914	0.7720930232558139	0.724
eval	-1	0.6858974358974359	0.9727272727272728	0.8045112781954887	0.74
train	0	0.7675765095119934	0.928	0.8401991851516524	0.8235
eval	0	0.7669172932330827	0.9272727272727272	0.8395061728395061	0.805
train	1	0.9366197183098591	0.931	0.933801404212638	0.934
eval	1	0.9428571428571428	0.9	0.9209302325581394	0.915
train	2	0.9522445081184336	0.997	0.9741084513922813	0.9735
eval	2	0.8916666666666667	0.9727272727272728	0.9304347826086957	0.92
train	3	1.0	0.988	0.993963782696177	0.994
eval	3	0.9381443298969072	0.8272727272727273	0.8792270531400965	0.875
train	4	1.0	0.987	0.9934574735782586	0.9935
eval	4	0.975	0.7090909090909091	0.8210526315789474	0.83
train	5	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	5	0.9528301886792453	0.9181818181818182	0.9351851851851851	0.93
train	6	1.0	0.999	0.9994997498749374	0.9995
eval	6	0.897196261682243	0.8727272727272727	0.8847926267281107	0.875
train	7	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	7	0.8888888888888888	0.9454545454545454	0.9162995594713657	0.905
train	8	0.998998998998999	0.998	0.9984992496248123	0.9985
eval	8	0.918918918918919	0.9272727272727272	0.9230769230769231	0.915
train	9	0.9960159362549801	1.0	0.998003992015968	0.998
eval	9	0.865546218487395	0.9363636363636364	0.8995633187772926	0.885
train	10	0.9969167523124358	0.97	0.9832742017232641	0.9835
eval	10	0.925531914893617	0.7909090909090909	0.8529411764705882	0.85
train	11	0.9989733059548255	0.973	0.9858156028368794	0.986
eval	11	0.9368421052631579	0.8090909090909091	0.8682926829268293	0.865
train	12	1.0	0.996	0.9979959919839679	0.998
eval	12	0.8867924528301887	0.8545454545454545	0.8703703703703703	0.86
train	13	1.0	0.996	0.9979959919839679	0.998
eval	13	0.8793103448275862	0.9272727272727272	0.902654867256637	0.89
train	14	1.0	0.999	0.9994997498749374	0.9995
eval	14	0.8813559322033898	0.9454545454545454	0.9122807017543859	0.9
train	15	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	15	0.8813559322033898	0.9454545454545454	0.9122807017543859	0.9
train	16	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	16	0.8699186991869918	0.9727272727272728	0.9184549356223175	0.905
train	17	1.0	0.999	0.9994997498749374	0.9995
eval	17	0.8869565217391304	0.9272727272727272	0.9066666666666666	0.895
train	18	1.0	0.999	0.9994997498749374	0.9995
eval	18	0.9017857142857143	0.9181818181818182	0.9099099099099099	0.9
train	19	1.0	0.999	0.9994997498749374	0.9995
eval	19	0.8938053097345132	0.9181818181818182	0.9058295964125559	0.895
