Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_top1_direct_2000.json eval=./data/unifiedQA/test.json train_batch=16 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.5607893061744113	0.881	0.6853364449630495	0.5955
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.6876475216365067	0.874	0.769704975781594	0.7385
eval	0	0.94	0.8545454545454545	0.8952380952380952	0.89
train	1	0.6677920324105334	0.989	0.7972591696896413	0.7485
eval	1	0.8709677419354839	0.9818181818181818	0.923076923076923	0.91
train	2	0.9933244325767691	0.744	0.8507718696397941	0.8695
eval	2	0.9333333333333333	0.38181818181818183	0.5419354838709678	0.645
train	3	0.9792899408284024	0.993	0.9860973187686197	0.986
eval	3	0.9587628865979382	0.8454545454545455	0.8985507246376813	0.895
train	4	0.997979797979798	0.988	0.9929648241206029	0.993
eval	4	0.9512195121951219	0.7090909090909091	0.8125	0.82
train	5	0.9969727547931383	0.988	0.9924660974384732	0.9925
eval	5	0.9368421052631579	0.8090909090909091	0.8682926829268293	0.865
train	6	1.0	0.999	0.9994997498749374	0.9995
eval	6	0.9157894736842105	0.7909090909090909	0.8487804878048781	0.845
train	7	1.0	0.998	0.998998998998999	0.999
eval	7	0.945054945054945	0.7818181818181819	0.8557213930348259	0.855
train	8	0.999000999000999	1.0	0.9995002498750626	0.9995
eval	8	0.9325842696629213	0.7614678899082569	0.8383838383838385	0.835
train	9	1.0	0.999	0.9994997498749374	0.9995
eval	9	0.9333333333333333	0.7636363636363637	0.84	0.84
train	10	0.9370892018779343	0.998	0.9665859564164648	0.9655
eval	10	0.9203539823008849	0.9454545454545454	0.9327354260089686	0.925
train	11	0.9821958456973294	0.993	0.9875683739433119	0.9875
eval	11	0.9065420560747663	0.8818181818181818	0.8940092165898617	0.885
train	12	0.98998998998999	0.989	0.9894947473736869	0.9895
eval	12	0.9393939393939394	0.8454545454545455	0.8899521531100478	0.885
train	13	0.9979716024340771	0.984	0.9909365558912387	0.991
eval	13	0.9166666666666666	0.6	0.7252747252747253	0.75
train	14	0.9803921568627451	1.0	0.99009900990099	0.99
eval	14	0.9223300970873787	0.8636363636363636	0.892018779342723	0.885
train	15	0.998995983935743	0.995	0.9969939879759518	0.997
eval	15	0.9108910891089109	0.8363636363636363	0.8720379146919431	0.865
train	16	0.991044776119403	0.996	0.9935162094763091	0.9935
eval	16	0.8796296296296297	0.8636363636363636	0.8715596330275229	0.86
train	17	0.995995995995996	0.995	0.9954977488744372	0.9955
eval	17	0.9038461538461539	0.8545454545454545	0.8785046728971962	0.87
train	18	0.998001998001998	0.999	0.9985007496251873	0.9985
eval	18	0.9029126213592233	0.8454545454545455	0.8732394366197184	0.865
train	19	0.998003992015968	1.0	0.9990009990009989	0.999
eval	19	0.9017857142857143	0.9181818181818182	0.9099099099099099	0.9
